sample_id	tissue	source	target	source_threshold	high_source_spots	neighbor_spots	background_spots	target_mean_in_high_source	target_mean_in_neighbors	target_mean_in_background	neighbor_vs_background_ratio
C1	CCT	caf_score	MET	1.8503078161032538	514	511	1029	1.523727722194148	1.3808439208144696	0.7332165000190517	1.8832690218763355
C1	CCT	caf_score	MYC	1.8503078161032538	514	511	1029	3.847802795171829	3.622677213569666	2.787936439044065	1.2994116949136112
C1	CCT	caf_score	glycolysis_score	1.8503078161032538	514	511	1029	1.6479454745040982	1.5820601520105806	1.121302309780924	1.4109131303936024
C1	CCT	HGF	MET	0.0	150	512	1392	1.3850788752633185	1.3925047791946599	0.9501169490132376	1.4656140811306153
C1	CCT	HGF	MYC	0.0	150	512	1392	3.631275168557552	3.5813226539793295	3.103029320767035	1.154137548753186
C1	CCT	HGF	glycolysis_score	0.0	150	512	1392	1.5862346510188243	1.5519990689405385	1.2763922897892992	1.2159263898379824
C2	CCT	caf_score	MET	2.1540332848177854	827	748	1730	0.7843890018444243	0.4455840627000128	0.20393057050306537	2.1849792387714375
C2	CCT	caf_score	MYC	2.1540332848177854	827	748	1730	2.6336929062276124	1.7643046554189286	1.1919908010023508	1.480132777816168
C2	CCT	caf_score	glycolysis_score	2.1540332848177854	827	748	1730	1.0729521122594772	0.7405206410902669	0.4865467630153384	1.5219927402269493
C2	CCT	HGF	MET	0.0	232	856	2217	0.7325726299814918	0.6096732752456012	0.2900087039374429	2.1022585424784785
C2	CCT	HGF	MYC	0.0	232	856	2217	2.39560077327419	2.2078534455929635	1.4046937630178042	1.5717685261516885
C2	CCT	HGF	glycolysis_score	0.0	232	856	2217	0.9887127345040649	0.9112190548461382	0.5744618272608955	1.5862134115872286
C3	CCT	caf_score	MET	0.8502993454155388	855	855	1707	1.4826807839949132	0.8211133765474463	0.2772571063592872	2.961559353084339
C3	CCT	caf_score	MYC	0.8502993454155388	855	855	1707	3.4548221521810643	2.2300731391895807	1.2877633070568264	1.73174148305747
C3	CCT	caf_score	glycolysis_score	0.8502993454155388	855	855	1707	1.4028480754033765	0.8837469244823981	0.496401142238986	1.7803079994866922
C3	CCT	HGF	MET	0.0	75	313	3029	1.581801620887303	1.3738050808626652	0.6254162350420795	2.1966252295484976
C3	CCT	HGF	MYC	0.0	75	313	3029	3.3325399476635806	3.0566777108069383	1.9320293231134247	1.5821073077095777
C3	CCT	HGF	glycolysis_score	0.0	75	313	3029	1.4427963088098656	1.2884823303036788	0.7563191753577071	1.7036224550227501
C4	CCT	caf_score	MET	1.5556440670178422	1011	1275	1730	0.47401200573884367	0.4030900868562218	0.1803041577093519	2.235611712881286
C4	CCT	caf_score	MYC	1.5556440670178422	1011	1275	1730	0.4053375045019335	0.31726747713552544	0.25387308366438094	1.2497089985126253
C4	CCT	caf_score	glycolysis_score	1.5556440670178422	1011	1275	1730	0.5369702009384415	0.42800009558791247	0.23220831598015043	1.8431729879325194
C4	CCT	HGF	MET	0.0	108	567	3341	0.28383106609115416	0.2868499392772579	0.33277297835162606	0.8619988939551354
C4	CCT	HGF	MYC	0.0	108	567	3341	0.27974002208857046	0.302606065747431	0.3147929133415952	0.9612861437546412
C4	CCT	HGF	glycolysis_score	0.0	108	567	3341	0.40361185177733155	0.3656086468582791	0.370968931130924	0.9855505843675272
L1	LCT	caf_score	MET	0.9678002527269727	1193	1116	2363	0.5534445906872342	0.39218504657745473	0.19327037019754265	2.029204198122042
L1	LCT	caf_score	MYC	0.9678002527269727	1193	1116	2363	1.837941905056223	1.5511333434395467	1.144638687359534	1.3551292303580262
L1	LCT	caf_score	glycolysis_score	0.9678002527269727	1193	1116	2363	0.6837657478063532	0.5665264427985571	0.3488870642738916	1.6238103982949883
L1	LCT	HGF	MET	0.0	531	1667	2474	0.35663507567348995	0.3035613373519525	0.34730227117977974	0.8740551460281557
L1	LCT	HGF	MYC	0.0	531	1667	2474	1.1862243413588545	1.2670670409565181	1.5709073725566367	0.806582910674344
L1	LCT	HGF	glycolysis_score	0.0	531	1667	2474	0.4148517948363776	0.4348059807285043	0.5364948695403565	0.8104569221715494
L2	LCT	caf_score	MET	0.5198603854199589	1375	1305	2116	0.22016533927784449	0.10699229495153942	0.05733190341747107	1.8661912229297286
L2	LCT	caf_score	MYC	0.5198603854199589	1375	1305	2116	1.0733429243425598	0.7522980165220895	0.44732451880129165	1.6817723708462127
L2	LCT	caf_score	glycolysis_score	0.5198603854199589	1375	1305	2116	0.3155812966632761	0.1933266232927772	0.10639000711751703	1.8171502054627282
L2	LCT	HGF	MET	0.0	78	426	4292	0.13480757364173798	0.09710520139826832	0.11924156279367334	0.8143570003882948
L2	LCT	HGF	MYC	0.0	78	426	4292	0.5846668850140117	0.5815118413980614	0.7247917178120252	0.8023157923955149
L2	LCT	HGF	glycolysis_score	0.0	78	426	4292	0.1737161947044884	0.16789415597864116	0.19251258334946267	0.8721204248444769
