metric	n_lm	n_crc	mean_lm	mean_crc	lm_minus_crc	lm_over_crc	mann_whitney_p	rank_delta_lm_vs_crc
HGF	6	3	0.014477911772833666	0.011046097622122272	0.003431814150711395	1.3106811353756662	1.0	0.0
MET	6	3	0.3408960827018999	0.23618770673766987	0.10470837596423005	1.4433269513071147	0.7962534147376392	0.11111111111111116
MYC	6	3	0.6340576411936732	1.0557902293412824	-0.42173258814760917	0.600552670002703	0.07070114486598289	-0.7777777777777778
SLC2A1	6	3	0.44354261054100674	0.5463823141583236	-0.10283970361731687	0.8117806873457524	0.7962534147376392	-0.11111111111111116
HK2	6	3	0.09776802256336782	0.17128137548456657	-0.07351335292119875	0.570803581456393	0.30169958247834794	-0.4444444444444444
PGK1	6	3	1.4855725654216927	3.3009096107304807	-1.815337045308788	0.45004945321509127	0.30169958247834794	-0.4444444444444444
TPI1	6	3	7.034503313895841	9.003469188286312	-1.968965874390471	0.7813103112573392	0.7962534147376392	-0.11111111111111116
LDHA	6	3	2.659540921845282	3.9806140759473227	-1.3210731541020406	0.6681232772389154	0.4385780260809997	-0.33333333333333337
ENO1	6	3	2.4098908400338366	5.128465983575158	-2.718575143541321	0.46990481125388156	0.4385780260809997	-0.33333333333333337
MCAM	6	3	0.009547356033650256	0.05378290653319236	-0.0442355504995421	0.17751655031432828	0.5049850750938458	-0.33333333333333337
COL1A1	6	3	0.06583463374158323	0.1247514082859697	-0.05891677454438647	0.5277265775683223	0.7962534147376392	-0.11111111111111116
COL1A2	6	3	0.07856043169363934	0.09864697891848233	-0.020086547224842988	0.7963794994528757	0.6055766163353464	0.22222222222222232
FAP	6	3	0.02947363858888166	0.003622771960398202	0.025850866628483456	8.135659354513173	0.30169958247834794	0.4444444444444444
ACTA2	6	3	0.07521130236935933	0.14935161782454764	-0.07414031545518832	0.5035854546799391	0.7962534147376392	0.11111111111111116
POSTN	6	3	0.06019112396689719	0.03985425144024438	0.02033687252665281	1.510281131666592	0.6055766163353464	0.22222222222222232
PDGFRA	6	3	0.008584305108965845	0.028931805126715393	-0.02034750001774955	0.2967082444862442	0.7388826803635273	-0.16666666666666663
PDGFRB	6	3	0.005424391127986031	0.018573709615944515	-0.013149318487958483	0.2920467284214182	0.5049850750938458	-0.33333333333333337
EPCAM	6	3	8.666371348692557	13.927785482171254	-5.261414133478697	0.6222361307751506	0.30169958247834794	-0.4444444444444444
KRT20	6	3	1.41098745830594	1.9860933553905025	-0.5751058970845624	0.7104336029705481	0.30169958247834794	-0.4444444444444444
score_caf_core	6	3	0.04618283237104465	0.06471373723271702	-0.018530904861672366	0.7136480497945376	0.4385780260809997	0.33333333333333326
score_mcam_caf	6	3	0.05728843095955804	0.10310734195733263	-0.045818910997774596	0.5556193174222729	0.7962534147376392	0.11111111111111116
score_hgf_met_axis	6	3	0.1776869972373668	0.16575294135887314	0.011934055878493666	1.071999059447489	0.7962534147376392	0.11111111111111116
score_myc_glycolysis_core	6	3	2.1092679879278147	3.312416111074778	-1.2031481231469634	0.6367762736317031	0.4385780260809997	-0.33333333333333337
score_tumor_epithelial	6	3	5.038679403499248	7.9569394187808795	-2.918260015281631	0.6332434040664404	0.30169958247834794	-0.4444444444444444
score_caf_met_myc_glycolysis_composite	6	3	0.597606562123946	0.9114975329059253	-0.31389097078197925	0.6556315739206992	0.4385780260809997	-0.33333333333333337
