sample	tissue	n_cells	n_genes	HGF	HGF_pct_expr	MET	MET_pct_expr	MYC	MYC_pct_expr	SLC2A1	SLC2A1_pct_expr	HK2	HK2_pct_expr	PGK1	PGK1_pct_expr	TPI1	TPI1_pct_expr	LDHA	LDHA_pct_expr	ENO1	ENO1_pct_expr	MCAM	MCAM_pct_expr	COL1A1	COL1A1_pct_expr	COL1A2	COL1A2_pct_expr	FAP	FAP_pct_expr	ACTA2	ACTA2_pct_expr	POSTN	POSTN_pct_expr	PDGFRA	PDGFRA_pct_expr	PDGFRB	PDGFRB_pct_expr	EPCAM	EPCAM_pct_expr	KRT20	KRT20_pct_expr	score_caf_core	n_caf_core_genes	score_mcam_caf	n_mcam_caf_genes	score_hgf_met_axis	n_hgf_met_axis_genes	score_myc_glycolysis_core	n_myc_glycolysis_core_genes	score_tumor_epithelial	n_tumor_epithelial_genes	score_caf_met_myc_glycolysis_composite
CRC2	CRC	523	20629	nan	nan	0.2638623326959847	0.1682600382409178	1.531548757170172	0.48565965583174	1.1453154875717018	0.4091778202676864	0.0841300191204589	0.05353728489483748	6.747609942638623	0.7934990439770554	17.066921606118548	0.9273422562141491	7.627151051625239	0.8202676864244742	10.877629063097514	0.864244741873805	nan	nan	0.022944550669216062	0.019120458891013385	0.009560229445506692	0.009560229445506692	0.0019120458891013384	0.0019120458891013384	0.0019120458891013384	0.0019120458891013384	0.0019120458891013384	0.0019120458891013384	nan	nan	nan	nan	20.53154875717017	0.9216061185468452	3.4091778202676863	0.6195028680688337	0.0076481835564053535	5	0.011472275334608031	3	0.2638623326959847	1	6.440043703906037	7	11.970363288718929	2	1.6807566238732587
CRC3	CRC	2959	26802	0.00777289624873268	0.006083136194660358	0.36904359580939505	0.18621155795876984	0.9023318688746198	0.2581953362622508	0.3061845217979047	0.1497127407908077	0.32071645826292666	0.20310915849949307	2.169651909428861	0.5326123690435958	7.563703954038527	0.7191618790131802	3.3386279148360933	0.6086515714768503	3.1615410611693138	0.6089895234876648	0.005407232173031429	0.0013518080432578573	0.03649881716796215	0.024332544778641434	0.004055424129773572	0.0016897600540723217	0.0016897600540723217	0.0006759040216289286	0.027036160865157147	0.021290976681311254	0.002027712064886786	0.001013856032443393	0.001013856032443393	0.0006759040216289286	0.0033795201081446434	0.0023656640757012504	17.869888475836433	0.8560324433930382	1.6850287259209191	0.3338965866846908	0.010814464346062858	7	0.018249408583981074	4	0.18840824602906386	2	2.5375368126297495	7	9.777458600878676	2	0.6887522328972143
CRC4	CRC	4679	27179	0.014319298995511862	0.007693951699081001	0.07565719170762984	0.05620859157939731	0.7334900619790553	0.2376576191493909	0.1876469331053644	0.09275486215003206	0.10899764907031417	0.08292370164565079	0.9854669801239581	0.32571062192776234	2.3797820047018594	0.47296430861295147	0.9760632613806369	0.33105364394101305	1.346227826458645	0.40435990596281257	0.10215858089335328	0.026073947424663388	0.3148108570207309	0.029279760632613807	0.2823252831801667	0.03013464415473392	0.007266509938020945	0.005556742893780722	0.41910664671938447	0.03376789912374439	0.11562299636674503	0.020089762769822612	0.05684975422098739	0.012395811070741612	0.03376789912374439	0.014746740756571917	3.38191921350716	0.4840777944005129	0.8640735199829024	0.19063902543278477	0.17567856379568283	7	0.2796003419534088	4	0.04498824535157085	2	0.9596678166885476	7	2.1229963667450313	2	0.36498374194730254
LM2	LM	3243	25474	0.008325624421831638	0.005242059821153253	0.6910268270120259	0.3068146777674992	0.4144310823311748	0.21739130434782608	0.14893617021276595	0.0986740672217083	0.07431390687634906	0.04594511255010793	1.658341042244835	0.5282146160962072	4.730804810360777	0.7659574468085106	1.5683009559050263	0.5090965155720012	2.322849213691027	0.5778600061671292	0.0064754856614246065	0.004933703361085414	0.03361085414739439	0.004933703361085414	0.0505704594511255	0.008942337341967314	0.003083564600678384	0.0018501387604070306	0.043478260869565216	0.012334258402713537	0.015417823003391921	0.0012334258402713536	0.003083564600678384	0.0012334258402713536	0.004933703361085414	0.001541782300339192	7.286463151403022	0.7715078630897317	0.36941103916127044	0.12395929694727105	0.02202546143341703	7	0.03353376503237743	4	0.34967622571692875	2	1.5597110259459936	7	3.827937095282146	2	0.49123661953217923
LM9	LM	2232	25054	0.042114695340501794	0.019265232974910396	0.5134408602150538	0.26030465949820786	0.4068100358422939	0.1975806451612903	0.3579749103942652	0.1635304659498208	0.10080645161290322	0.07302867383512544	1.7665770609318996	0.5846774193548387	4.50179211469534	0.7719534050179212	2.331093189964158	0.6232078853046595	2.5949820788530467	0.6957885304659498	0.012992831541218637	0.007168458781362007	0.0264336917562724	0.012992831541218637	0.011648745519713262	0.0013440860215053765	0.0017921146953405018	0.0017921146953405018	0.04390681003584229	0.012992831541218637	0.002240143369175627	0.0008960573476702509	0.002240143369175627	0.0008960573476702509	0.004480286738351254	0.002240143369175627	13.74641577060932	0.7258064516129032	0.8803763440860215	0.32437275985663083	0.013248847926267281	7	0.023745519713261647	4	0.2777777777777778	2	1.7228622631848438	7	7.313396057347671	2	0.5094086021505376
LM16	LM	1467	24022	0.004771642808452625	0.0034083162917518746	0.2501704158145876	0.152692569870484	0.7116564417177914	0.2958418541240627	0.5971370143149284	0.18950238582140422	0.04567143830947512	0.03135650988411725	0.9597818677573279	0.3421949556918882	2.556918882072256	0.547375596455351	2.2576687116564416	0.48738922972051807	2.394683026584867	0.6005453306066802	0.0006816632583503749	0.0006816632583503749	0.07566462167689161	0.00408997955010225	0.06066802999318337	0.00408997955010225	0.016359918200409	0.010224948875255624	0.010224948875255624	0.004771642808452625	0.025221540558963872	0.002044989775051125	0.00408997955010225	0.002044989775051125	0.013633265167007498	0.0013633265167007499	5.2624403544648946	0.7505112474437627	0.6571233810497614	0.2310838445807771	0.029408900574544743	7	0.03680981595092025	4	0.1274710293115201	2	1.3605024832018697	7	2.9597818677573278	2	0.3885480572597137
LM17	LM	3188	26068	0.0185069008782936	0.011606022584692597	0.15589711417816812	0.11449184441656211	1.1778544542032623	0.4363237139272271	0.9363237139272271	0.3193224592220828	0.2129861982434128	0.14868255959849436	2.614491844416562	0.6866373902132998	22.912484316185697	0.9520075282308658	7.024780426599749	0.8566499372647428	4.150250941028858	0.7929736511919699	0.021957340025094103	0.004705144291091593	0.0370138017565872	0.01944792973651192	0.022271016311166875	0.0028230865746549563	0.0040777917189460475	0.003136762860727729	0.24560853199498117	0.01725219573400251	0.006900878293601004	0.00219573400250941	0.002509410288582183	0.0018820577164366374	0.002509410288582183	0.0015683814303638645	15.431932245922209	0.8428481806775407	3.2214554579673775	0.5843789209535759	0.04584154866463524	7	0.08171267252195734	4	0.08720200752823086	2	5.575595984943539	7	9.326693851944793	2	1.4475880534145906
LM21	LM	7304	23724	0.00013691128148959474	0.00013691128148959474	0.19975355969331873	0.16073384446878422	0.6590909090909091	0.39526286966046004	0.04559145673603505	0.04038882803943045	0.027245345016429355	0.024917853231106242	0.38485761226725085	0.2795728368017525	3.4303121577217963	0.8322836801752465	0.7914841182913472	0.4667305585980285	0.6775739320920043	0.4126506024096386	0.0004107338444687842	0.0004107338444687842	0.0012322015334063528	0.0012322015334063528	0.0016429353778751369	0.0015060240963855422	0.14772727272727273	0.1144578313253012	0.02573932092004381	0.022727272727272728	0.000547645125958379	0.0002738225629791895	0.000547645125958379	0.0004107338444687842	0.0004107338444687842	0.0004107338444687842	3.2360350492880614	0.8528203723986857	0.07995618838992333	0.041757940854326395	0.025406822093569086	7	0.0072562979189485215	4	0.09994523548740417	2	0.8594507901736818	7	1.6579956188389924	2	0.24801478641840088
LM28	LM	6840	28978	0.013011695906432749	0.00935672514619883	0.23508771929824562	0.15453216374269005	0.43450292397660817	0.18903508771929825	0.5752923976608187	0.2198830409356725	0.12558479532163744	0.09649122807017543	1.5293859649122807	0.4678362573099415	4.074707602339181	0.7116959064327485	1.9839181286549707	0.5630116959064327	2.3190058479532163	0.6232456140350877	0.01476608187134503	0.005701754385964913	0.22105263157894736	0.025730994152046785	0.32456140350877194	0.035964912280701755	0.003801169590643275	0.002777777777777778	0.08230994152046783	0.01432748538011696	0.3108187134502924	0.03669590643274854	0.03903508771929825	0.011549707602339181	0.006578947368421052	0.004093567251461989	7.034941520467836	0.7717836257309941	3.2576023391812865	0.5603801169590643	0.14116541353383458	7	0.16067251461988305	4	0.12404970760233919	2	1.577485380116959	7	5.146271929824561	2	0.5008432539682539
