metric	n_pairs	mean_lm_minus_primary	positive_pairs	negative_pairs	zero_pairs	sign_test_p	patients
caf_proxy__score_spp1_cxcl12_axis_desoverlap_2026	13	0.26780108559636673	11	2	0	0.0224609375	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
caf_proxy__score_spp1_cxcl12_caf_myeloid_axis	13	0.2414220878321445	9	4	0	0.266845703125	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
fraction_caf_proxy	13	-0.03376113630117289	6	7	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
fraction_myeloid_proxy	13	-0.016153405112499106	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
fraction_tcell_proxy	13	0.03723920036846846	6	7	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
fraction_tumor_epithelial_proxy	13	0.0967416940028741	8	5	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
myeloid_proxy__score_hla_drb5_macrophage_axis	13	0.6233538369521214	12	1	0	0.00341796875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
myeloid_proxy__score_hla_drb5_macrophage_axis_desoverlap_2026	13	0.5000096194359902	12	1	0	0.00341796875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
myeloid_proxy__score_spp1_cxcl12_axis_desoverlap_2026	13	0.274546002143598	13	0	0	0.000244140625	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_caf_core	13	-0.028142298172355355	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_caf_core_desoverlap_2026	13	-0.030114786657570065	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_caf_proxy	13	-0.030114786657570065	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_crlm_metabolic_vulnerabilities_2026	13	-0.0215460180899021	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_glut1_invasive_margin_axis	13	0.05321146042425133	9	4	0	0.266845703125	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_hla_drb5_macrophage_axis	13	0.16753508357772606	10	3	0	0.09228515625	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_hla_drb5_macrophage_axis_desoverlap_2026	13	0.12352769212627909	8	5	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_mcam_caf	13	-0.03957868506110369	6	7	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_myc_glycolysis_core	13	0.13571227509112643	10	3	0	0.09228515625	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_myc_glycolysis_desoverlap_2026	13	0.08818412466353681	8	5	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_myeloid_proxy	13	0.1716479798931441	11	2	0	0.0224609375	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_spp1_cxcl12_axis_desoverlap_2026	13	0.02857916792562371	7	6	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_spp1_cxcl12_caf_myeloid_axis	13	0.09971470914868652	8	5	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_tcell_proxy	13	0.06455495445820889	7	6	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
score_tumor_epithelial_proxy	13	0.2030071438942249	8	5	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
tcell_proxy__score_glut1_invasive_margin_axis	13	0.02185400304539362	7	6	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
tcell_proxy__score_tcell_proxy	13	0.030050645591287763	7	6	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
tumor_epithelial_proxy__score_glut1_invasive_margin_axis	13	-0.0011279227872080507	4	9	0	0.266845703125	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
tumor_epithelial_proxy__score_myc_glycolysis_core	13	-0.03227690948953749	6	7	0	1.0	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
tumor_epithelial_proxy__score_myc_glycolysis_desoverlap_2026	13	-0.07274904996989309	5	8	0	0.5810546875	Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt10,Pt11,Pt15,Pt17,Pt18
