source_variant	target_variant	n_samples	positive_delta_samples	positive_ratio_samples	block_delta_p_le_0_05	mean_ratio	mean_delta	mean_block_p
hla_drb5_no_cd74_ptprc	glutamate_transamination	6	6	6	2	1.3195936209657477	0.049961734692473926	0.19141914191419143
hla_drb5_no_cd74_ptprc	glutamate_transamination_minus_GLS	6	6	6	2	1.3093757947522822	0.04624655975443411	0.21287128712871287
hla_drb5_no_cd74_ptprc	glutamate_transamination_minus_GLUD1	6	6	6	2	1.3320002243866873	0.056521624718339186	0.16831683168316833
hla_drb5_no_cd74_ptprc	glutamate_transamination_minus_GOT1	6	6	6	2	1.2953933386671685	0.05230720391982709	0.2211221122112211
hla_drb5_no_cd74_ptprc	glutamate_transamination_minus_GOT2	6	6	6	2	1.3533640240314264	0.044771550377295334	0.2079207920792079
hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	6	5	5	3	1.2380356927713434	0.0756393288663167	0.29372937293729373
hla_drb5_no_cd74_ptprc	pyruvate_mito_entry_minus_MPC1	6	5	5	3	1.2394975993705855	0.08996080472674706	0.2194719471947195
hla_drb5_no_cd74_ptprc	pyruvate_mito_entry_minus_MPC2	6	5	5	3	1.2277261141039497	0.06462094936804529	0.3432343234323432
hla_drb5_no_cd74_ptprc	pyruvate_mito_entry_minus_PDHA1	6	6	6	3	1.2387581611482488	0.0712950952923089	0.2706270627062706
hla_drb5_no_cd74_ptprc	pyruvate_mito_entry_minus_PDHB	6	6	6	3	1.2481720467837742	0.07668046607816559	0.2508250825082508
hla_drb5_no_ptprc	glutamate_transamination	6	6	6	5	1.7046953182757507	0.07050932399168387	0.036303630363036306
hla_drb5_no_ptprc	glutamate_transamination_minus_GLS	6	6	6	3	1.712483035836965	0.06774169861479391	0.054455445544554455
hla_drb5_no_ptprc	glutamate_transamination_minus_GLUD1	6	6	6	4	1.746372598119638	0.08030169116474083	0.041254125412541254
hla_drb5_no_ptprc	glutamate_transamination_minus_GOT1	6	6	6	4	1.6774918751147927	0.07612192851697498	0.08250825082508251
hla_drb5_no_ptprc	glutamate_transamination_minus_GOT2	6	6	6	4	1.6992527793490197	0.05787197767022582	0.08415841584158416
hla_drb5_no_ptprc	pyruvate_mito_entry	6	6	6	5	1.5565206908141302	0.12627445493013426	0.037953795379537955
hla_drb5_no_ptprc	pyruvate_mito_entry_minus_MPC1	6	6	6	6	1.5492545475019657	0.15034232539085504	0.019801980198019802
hla_drb5_no_ptprc	pyruvate_mito_entry_minus_MPC2	6	6	6	4	1.54430239599962	0.10410357815990613	0.08250825082508252
hla_drb5_no_ptprc	pyruvate_mito_entry_minus_PDHA1	6	6	6	5	1.5760555055858287	0.12888118674741353	0.06765676567656766
hla_drb5_no_ptprc	pyruvate_mito_entry_minus_PDHB	6	6	6	5	1.5793791691395536	0.12177072942236233	0.04620462046204621
hla_drb5_only	glutamate_transamination	6	1	1	0	1.0622105280138847	0.00730197445100815	0.7029702970297029
hla_drb5_only	glutamate_transamination_minus_GLS	6	1	1	0	1.0816626242394227	0.007744015141805963	0.7425742574257426
hla_drb5_only	glutamate_transamination_minus_GLUD1	6	1	1	0	1.0297014471828667	0.004049469609699208	0.7920792079207921
hla_drb5_only	glutamate_transamination_minus_GOT1	6	1	1	0	1.0689165447771038	0.009531752852956182	0.4752475247524752
hla_drb5_only	glutamate_transamination_minus_GOT2	6	1	1	0	1.078807885784133	0.007882660199571206	0.5742574257425742
hla_drb5_only	pyruvate_mito_entry	6	1	1	0	1.10636970155675	0.015807151692272037	0.26732673267326734
hla_drb5_only	pyruvate_mito_entry_minus_MPC1	6	1	1	0	1.0999600293403606	0.016319379570320536	0.33663366336633666
hla_drb5_only	pyruvate_mito_entry_minus_MPC2	6	1	1	0	1.0888492308028124	0.01233428035174372	0.5148514851485149
hla_drb5_only	pyruvate_mito_entry_minus_PDHA1	6	1	1	0	1.1021137309346383	0.014527073605401813	0.39603960396039606
hla_drb5_only	pyruvate_mito_entry_minus_PDHB	6	1	1	0	1.13358321709551	0.020047873241622077	0.21782178217821782
hla_drb5_original	glutamate_transamination	6	6	6	5	1.7644547150491068	0.07445835135496438	0.0297029702970297
hla_drb5_original	glutamate_transamination_minus_GLS	6	6	6	4	1.8247453821499027	0.07052527688350838	0.0693069306930693
hla_drb5_original	glutamate_transamination_minus_GLUD1	6	6	6	3	1.7659640614403027	0.08359084794527094	0.07425742574257425
hla_drb5_original	glutamate_transamination_minus_GOT1	6	6	6	5	1.745514461290771	0.08099115758027085	0.08085808580858087
hla_drb5_original	glutamate_transamination_minus_GOT2	6	6	6	5	1.7589228365632756	0.06272612301080742	0.04455445544554456
hla_drb5_original	pyruvate_mito_entry	6	6	6	5	1.570862446831506	0.12962947222874535	0.03300330033003301
hla_drb5_original	pyruvate_mito_entry_minus_MPC1	6	6	6	4	1.5563055794836085	0.15351796894798328	0.02805280528052805
hla_drb5_original	pyruvate_mito_entry_minus_MPC2	6	6	6	5	1.604021642325921	0.10766202506518936	0.05115511551155116
hla_drb5_original	pyruvate_mito_entry_minus_PDHA1	6	6	6	4	1.5908489698561354	0.1333862657154755	0.0957095709570957
hla_drb5_original	pyruvate_mito_entry_minus_PDHB	6	6	6	4	1.5779249569480929	0.12395162918633341	0.05115511551155116
