dataset	sample	source_variant	target	observed_delta	observed_ratio	random_controls	random_delta_mean	random_ratio_mean	random_delta_p_ge_observed	beats_random_delta_p_0_05
GSE217414	19G02977	hla_drb5_original	pyruvate_mito_entry	0.041014355766238575	1.4578345444005103	100	0.03451725530105409	1.3704213396434215	0.13861386138613863	0
GSE217414	19G02977	hla_drb5_original	glutamate_transamination	0.016948755588837978	1.6972873336462972	100	0.012844712068377147	1.450130702574622	0.1485148514851485	0
GSE217414	19G02977	hla_drb5_no_ptprc	pyruvate_mito_entry	0.0440880356333494	1.4934969168943626	100	0.03770333087105169	1.4088579921495454	0.18811881188118812	0
GSE217414	19G02977	hla_drb5_no_ptprc	glutamate_transamination	0.01696541486835488	1.6703180883498443	100	0.014185322600796347	1.5017027257313327	0.25742574257425743	0
GSE217414	19G0619	hla_drb5_original	pyruvate_mito_entry	0.05062367222539749	1.577691599020587	100	0.04369612367933673	1.5095193544503005	0.26732673267326734	0
GSE217414	19G0619	hla_drb5_original	glutamate_transamination	0.03000045152851235	1.7504380402554032	100	0.026053244054748657	1.5823583833474482	0.297029702970297	0
GSE217414	19G0619	hla_drb5_no_ptprc	pyruvate_mito_entry	0.052937628629579445	1.6176466074322216	100	0.04504013929304215	1.5203958072850434	0.1782178217821782	0
GSE217414	19G0619	hla_drb5_no_ptprc	glutamate_transamination	0.03219502838155837	1.8382642702420022	100	0.02646742125351136	1.5892626680838264	0.19801980198019803	0
GSE217414	19G0635	hla_drb5_original	pyruvate_mito_entry	0.34361895723251845	1.9906589000348716	100	0.3361663643134964	1.948976174766017	0.36633663366336633	0
GSE217414	19G0635	hla_drb5_original	glutamate_transamination	0.18448949468655723	2.110125112610491	100	0.1855552288769301	2.0955773365511536	0.504950495049505	0
GSE217414	19G0635	hla_drb5_no_ptprc	pyruvate_mito_entry	0.3392428644350071	1.947816549111904	100	0.3323219997715917	1.9129714627558838	0.45544554455445546	0
GSE217414	19G0635	hla_drb5_no_ptprc	glutamate_transamination	0.17713607016869595	2.00423049859708	100	0.1855181073240221	2.06880287214839	0.693069306930693	0
GSE217414	19G081	hla_drb5_original	pyruvate_mito_entry	0.12813158231402094	1.6364359013374346	100	0.11665963315426392	1.551384991327206	0.2079207920792079	0
GSE217414	19G081	hla_drb5_original	glutamate_transamination	0.05653414622204279	2.206552008958116	100	0.04546343941781911	1.7992341732115065	0.1485148514851485	0
GSE217414	19G081	hla_drb5_no_ptprc	pyruvate_mito_entry	0.1008972870208868	1.4361715947120233	100	0.10204282646121884	1.4400810978407452	0.5445544554455446	0
GSE217414	19G081	hla_drb5_no_ptprc	glutamate_transamination	0.048704165277559025	1.884880806818195	100	0.04115260432825371	1.6346392983843145	0.15841584158415842	0
GSE225857	L1	hla_drb5_original	pyruvate_mito_entry	0.19318895956815507	1.589674770855958	100	0.20320650122050005	1.633566507101547	0.6732673267326733	0
GSE225857	L1	hla_drb5_original	glutamate_transamination	0.1380648815005956	1.6045100339979976	100	0.15065428164235015	1.6879398790603286	0.8415841584158416	0
GSE225857	L1	hla_drb5_no_ptprc	pyruvate_mito_entry	0.19466565474621278	1.6279722647948016	100	0.20635152974856377	1.6901784022466375	0.7425742574257426	0
GSE225857	L1	hla_drb5_no_ptprc	glutamate_transamination	0.12372441095295791	1.5671432893414678	100	0.14649903763848182	1.7069466019530415	1.0	0
GSE225857	L2	hla_drb5_original	pyruvate_mito_entry	0.02119930626614168	1.172878965339674	100	0.019844431161587576	1.1599764724556116	0.46534653465346537	0
GSE225857	L2	hla_drb5_original	glutamate_transamination	0.020712378603240406	1.2178157608263362	100	0.014807505360464658	1.1529095736380337	0.13861386138613863	0
GSE225857	L2	hla_drb5_no_ptprc	pyruvate_mito_entry	0.02581525911577011	1.2160202119394683	100	0.024034632897101303	1.1969752612736764	0.40594059405940597	0
GSE225857	L2	hla_drb5_no_ptprc	glutamate_transamination	0.02433085430097713	1.263334956305915	100	0.019716487412186203	1.210272042719518	0.1485148514851485	0
